Region,mean,std,min,max,count,CV,range,Classification
Region VIII - Eastern Visayas,400237.6060606061,522281.9104268511,2288,1187067,33,130.49,1184779,Volatile
Region IX - Zamboanga Peninsula,319685.9696969697,411034.53956704517,1199,947314,33,128.57,946115,Volatile
CARAGA - CARAGA,236373.84848484848,301530.85711075255,436,716835,33,127.57,716399,Volatile
Region V - Bicol Region,557673.2424242424,709458.9429614227,2734,1626176,33,127.22,1623442,Volatile
Region IV-B - MIMAROPA,274786.57575757575,349261.09542021266,2075,811249,33,127.1,809174,Stable
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,296441.0,373034.9225953081,3706,945478,33,125.84,941772,Stable
Region VI - Western Visayas,635621.6060606061,777368.995903246,1597,1846904,33,122.3,1845307,Stable
Region XII - Soccsksargen,383004.1818181818,463188.90648548125,2161,1125037,33,120.94,1122876,Stable
Region II - Cagayan Valley,273955.0,330261.39827765594,499,817888,33,120.55,817389,Stable
Region XI - Davao Region,406647.63636363635,483879.71391134604,0,1158180,33,118.99,1158180,Stable
Region X - Northern Mindanao,394849.42424242425,466661.10116356326,1320,1131655,33,118.19,1130335,Stable
Region I - Ilocos Region,404871.6666666667,477036.44642978196,3877,1139566,33,117.82,1135689,Stable
Region VII - Central Visayas,634555.5454545454,741436.695659013,1265,1757937,33,116.84,1756672,Stable
Region III - Central Luzon,886475.8787878788,965705.4960479265,4025,2393006,33,108.94,2388981,Stable
CAR - Cordillera Administrative Region,139064.72727272726,147019.20509883072,2092,355909,33,105.72,353817,Stable
Region IV-A - CALABARZON,1127825.6363636365,1165369.830705065,5813,2991907,33,103.33,2986094,Stable
NCR - National Capital Region,902568.4242424242,858242.551065185,1670,2080469,33,95.09,2078799,Stable
